"Label (Grouping)","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 17 years","SEX AND AGE!!Total population!!18 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed!!Unemployment Rate","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With private health insurance","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With public coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage","POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED!!All people"
"        Estimate","3,017,804","48.9%","51.1%","6.1%","17.1%","9.4%","12.8%","12.5%","12.0%","12.8%","10.1%","7.3%","12.5%","34.9%","29.3%","15.1%","8.3%","4.8%","59.3%","44.0%","9.1%","16.2%"
"California","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39,512,223","49.7%","50.3%","6.0%","16.5%","9.3%","15.3%","13.4%","12.6%","12.1%","8.6%","6.2%","16.0%","20.6%","28.4%","21.9%","13.1%","5.1%","63.9%","37.8%","7.7%","11.8%"
"Colorado","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,758,736","50.4%","49.6%","5.7%","16.1%","9.2%","15.8%","14.0%","12.2%","12.4%","9.1%","5.6%","7.6%","21.0%","28.7%","26.6%","16.0%","3.7%","70.9%","31.5%","8.0%","9.3%"
"Connecticut","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,565,287","48.9%","51.1%","5.1%","15.3%","9.6%","12.5%","12.0%","13.5%","14.5%","9.9%","7.8%","9.3%","26.8%","24.1%","22.0%","17.8%","5.3%","69.4%","37.1%","5.9%","10.0%"
"Delaware","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","973,764","48.3%","51.7%","5.6%","15.4%","8.5%","13.2%","11.7%","12.2%","14.1%","11.6%","7.9%","9.7%","30.2%","26.9%","19.5%","13.7%","4.6%","70.9%","39.5%","6.6%","11.3%"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","705,749","47.4%","52.6%","6.4%","11.7%","10.3%","23.3%","15.4%","10.6%","9.9%","7.2%","5.2%","8.1%","15.8%","16.4%","25.7%","34.0%","6.3%","72.6%","34.2%","3.5%","13.5%"
"Florida","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,477,737","48.9%","51.1%","5.3%","14.4%","8.2%","12.9%","12.2%","12.6%","13.5%","11.5%","9.5%","11.6%","28.4%","29.3%","19.3%","11.4%","4.5%","62.5%","36.8%","13.2%","12.7%"
"Georgia","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,617,423","48.7%","51.3%","6.0%","17.5%","9.7%","13.7%","13.2%","13.2%","12.2%","8.8%","5.6%","12.1%","27.4%","28.0%","19.9%","12.6%","4.8%","65.8%","31.4%","13.4%","13.3%"
"Hawaii","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,415,872","50.0%","50.0%","6.0%","15.2%","8.4%","13.8%","13.1%","11.9%","12.6%","10.8%","8.2%","7.6%","27.4%","31.3%","22.1%","11.6%","3.9%","76.1%","36.3%","4.2%","9.3%"
"Idaho","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,787,065","50.3%","49.7%","6.5%","18.7%","9.3%","13.1%","12.6%","11.3%","12.3%","9.7%","6.4%","8.5%","26.1%","36.6%","18.8%","9.9%","3.3%","70.0%","32.5%","10.8%","11.2%"
"Illinois","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,671,821","49.1%","50.9%","5.9%","16.4%","9.2%","13.8%","13.0%","12.6%","13.1%","9.3%","6.8%","10.2%","25.9%","28.1%","21.7%","14.1%","4.8%","70.1%","33.5%","7.4%","11.5%"
"Indiana","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,732,219","49.3%","50.7%","6.2%","17.1%","9.8%","13.2%","12.3%","12.3%","13.0%","9.5%","6.6%","10.4%","33.9%","28.7%","17.3%","9.7%","4.2%","69.5%","33.7%","8.7%","11.9%"
"Iowa","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,155,070","49.8%","50.2%","6.0%","16.8%","9.8%","12.7%","12.4%","11.4%","13.3%","9.9%","7.7%","7.4%","31.0%","32.3%","19.8%","9.5%","3.7%","73.2%","36.1%","5.0%","11.2%"
"Kansas","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,913,314","49.6%","50.4%","6.3%","17.7%","10.1%","13.0%","12.5%","11.2%","12.8%","9.4%","7.0%","8.2%","26.3%","31.5%","21.6%","12.4%","3.8%","74.4%","29.6%","9.2%","11.4%"
"Kentucky","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,467,673","49.2%","50.8%","6.1%","16.3%","9.3%","12.9%","12.5%","12.6%","13.4%","10.2%","6.7%","12.8%","33.2%","28.8%","14.9%","10.3%","4.8%","63.7%","43.2%","6.4%","16.3%"
"Louisiana","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,648,794","48.8%","51.2%","6.3%","17.0%","9.1%","13.8%","13.1%","11.7%","13.0%","9.6%","6.4%","14.0%","33.9%","27.0%","16.0%","8.9%","5.5%","57.8%","44.3%","8.9%","19.0%"
"Maine","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,344,212","48.8%","51.2%","4.7%","13.7%","7.9%","12.2%","11.4%","13.1%","15.7%","12.6%","8.7%","6.8%","31.4%","28.6%","20.8%","12.4%","3.5%","69.5%","38.6%","8.0%","10.9%"
"Maryland","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,045,680","48.4%","51.6%","5.9%","16.1%","8.8%","13.6%","13.0%","13.2%","13.6%","9.3%","6.5%","9.6%","24.6%","24.9%","21.8%","19.1%","4.5%","74.0%","33.5%","6.0%","9.0%"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,892,503","48.5%","51.5%","5.2%","14.5%","10.0%","14.4%","12.3%","13.0%","13.7%","9.8%","7.2%","8.7%","23.9%","22.5%","24.7%","20.3%","3.9%","74.3%","36.1%","3.0%","9.4%"
"Michigan","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,986,857","49.2%","50.8%","5.7%","15.8%","9.5%","13.0%","11.8%","12.5%","14.0%","10.4%","7.3%","8.6%","29.1%","32.2%","18.2%","11.9%","5.0%","71.0%","38.8%","5.8%","13.0%"
"Minnesota","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,639,632","49.7%","50.3%","6.2%","16.9%","8.7%","13.6%","13.0%","11.9%","13.4%","9.5%","6.9%","6.4%","24.4%","31.9%","24.5%","12.7%","3.2%","75.9%","32.9%","4.9%","9.0%"
"Mississippi","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,976,149","48.2%","51.8%","6.0%","17.4%","10.0%","12.4%","12.8%","12.1%","12.9%","9.7%","6.6%","14.7%","30.2%","32.8%","13.7%","8.6%","6.6%","58.7%","39.4%","13.0%","19.6%"
"Missouri","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,137,428","49.0%","51.0%","6.0%","16.4%","9.1%","13.4%","12.3%","11.9%","13.6%","9.9%","7.3%","9.3%","31.1%","29.3%","18.4%","11.8%","3.8%","69.7%","32.2%","10.0%","12.9%"
"Montana","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,068,778","50.3%","49.7%","5.5%","15.7%","9.4%","12.5%","12.4%","11.0%","14.2%","11.8%","7.6%","5.8%","28.4%","32.2%","23.1%","10.5%","4.1%","66.3%","40.6%","8.3%","12.6%"
"Nebraska","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,934,408","50.0%","50.0%","6.7%","17.9%","9.7%","13.3%","12.6%","11.2%","12.5%","9.3%","6.9%","8.0%","25.7%","33.1%","21.8%","11.4%","3.3%","75.2%","28.3%","8.3%","9.9%"
"Nevada","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,080,156","50.2%","49.8%","6.0%","16.4%","8.2%","14.6%","13.3%","12.9%","12.4%","9.9%","6.2%","13.1%","27.8%","33.4%","16.7%","9.0%","5.1%","65.0%","33.8%","11.4%","12.5%"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,359,711","49.5%","50.5%","4.7%","14.1%","9.1%","12.6%","11.7%","13.4%","15.8%","11.2%","7.4%","6.7%","28.1%","27.6%","22.9%","14.7%","3.0%","75.6%","32.1%","6.3%","7.3%"
"New Jersey","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,882,190","48.9%","51.1%","5.8%","16.1%","8.5%","12.9%","12.9%","13.5%","13.8%","9.4%","7.2%","9.7%","26.9%","22.2%","25.1%","16.1%","4.7%","71.7%","31.7%","7.9%","9.2%"
"New Mexico","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,096,829","49.4%","50.6%","5.6%","17.0%","9.4%","13.3%","12.5%","11.2%","13.0%","10.7%","7.3%","14.1%","26.4%","31.8%","15.5%","12.2%","5.5%","53.7%","50.1%","10.0%","18.2%"
"New York","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,453,561","48.6%","51.4%","5.8%","14.9%","9.1%","14.7%","12.5%","12.7%","13.4%","9.6%","7.4%","12.4%","25.8%","24.0%","21.2%","16.6%","4.4%","67.5%","39.6%","5.2%","13.0%"
"North Carolina","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,488,084","48.6%","51.4%","5.7%","16.2%","9.6%","13.4%","12.5%","13.0%","13.0%","10.0%","6.7%","11.4%","25.6%","30.7%","20.5%","11.8%","4.6%","66.6%","34.9%","11.3%","13.6%"
"North Dakota","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","762,062","51.0%","49.0%","6.6%","16.6%","10.6%","15.4%","12.6%","10.0%","12.3%","8.8%","6.9%","6.5%","26.7%","36.4%","21.5%","8.9%","2.6%","79.1%","27.2%","6.9%","10.6%"
"Ohio","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,689,100","49.0%","51.0%","5.9%","16.2%","9.1%","13.2%","12.0%","12.4%","13.7%","10.2%","7.3%","9.2%","32.6%","28.9%","18.2%","11.1%","4.6%","68.9%","37.2%","6.6%","13.1%"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,956,971","49.6%","50.4%","6.3%","17.7%","9.7%","13.6%","12.7%","11.4%","12.5%","9.3%","6.7%","11.6%","31.5%","30.7%","17.1%","9.1%","4.4%","63.9%","34.5%","14.3%","15.2%"
"Oregon","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,217,737","49.5%","50.5%","5.3%","15.2%","8.7%","14.1%","13.7%","12.1%","12.7%","11.1%","7.1%","8.6%","23.0%","33.8%","21.0%","13.5%","5.0%","68.0%","38.5%","7.2%","11.4%"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,801,989","49.0%","51.0%","5.4%","15.1%","8.9%","13.3%","11.9%","12.5%","14.1%","10.6%","8.1%","9.0%","34.4%","24.3%","19.5%","12.8%","4.5%","71.9%","37.6%","5.8%","12.0%"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,059,361","48.8%","51.2%","5.2%","14.0%","10.3%","14.0%","11.7%","12.8%","14.3%","10.1%","7.5%","10.7%","28.4%","26.0%","20.9%","13.9%","4.2%","73.3%","36.2%","4.1%","10.8%"
"South Carolina","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,148,714","48.3%","51.7%","5.6%","16.0%","9.2%","13.0%","12.2%","12.3%","13.5%","11.1%","7.1%","11.7%","28.5%","30.2%","18.4%","11.2%","4.7%","66.3%","37.1%","10.8%","13.8%"
"South Dakota","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","884,659","50.8%","49.2%","6.7%","17.7%","9.2%","12.9%","12.0%","10.9%","13.2%","10.2%","7.2%","7.9%","30.0%","32.4%","20.6%","9.1%","3.0%","71.8%","30.7%","10.2%","11.9%"
"Tennessee","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,829,174","48.7%","51.3%","6.0%","16.2%","9.1%","13.7%","12.4%","12.8%","13.2%","10.0%","6.7%","12.0%","31.5%","27.7%","18.0%","10.7%","4.5%","66.1%","36.2%","10.1%","13.9%"
"Texas","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28,995,881","49.6%","50.4%","6.8%","18.7%","9.7%","14.6%","13.7%","12.3%","11.3%","7.8%","5.1%","15.4%","25.2%","28.7%","20.0%","10.8%","4.4%","61.8%","28.3%","18.4%","13.6%"
"Utah","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,205,958","50.2%","49.8%","7.7%","21.3%","11.4%","14.7%","13.8%","10.3%","9.4%","6.8%","4.6%","7.0%","23.1%","35.1%","23.4%","11.3%","3.2%","78.5%","20.7%","9.7%","8.9%"
"Vermont","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","623,989","49.5%","50.5%","4.7%","13.5%","10.4%","12.3%","11.3%","12.5%","15.2%","12.1%","8.0%","6.9%","29.0%","25.4%","22.7%","16.0%","3.4%","68.8%","42.0%","4.5%","10.2%"
"Virginia","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,535,519","49.2%","50.8%","5.9%","15.9%","9.4%","13.8%","13.2%","12.8%","13.1%","9.5%","6.4%","10.0%","23.6%","26.8%","22.4%","17.2%","4.0%","74.6%","30.7%","7.9%","9.9%"
"Washington","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,614,893","50.0%","50.0%","6.0%","15.9%","8.7%","15.3%","13.6%","12.2%","12.6%","9.7%","6.2%","8.3%","22.1%","32.6%","22.8%","14.2%","4.6%","71.1%","35.2%","6.6%","9.8%"
"West Virginia","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,792,147","49.4%","50.6%","5.1%","14.9%","8.5%","11.8%","12.3%","12.6%","14.3%","12.1%","8.4%","12.9%","40.2%","25.8%","12.6%","8.4%","6.0%","62.6%","47.5%","6.7%","16.0%"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,822,434","49.7%","50.3%","5.6%","16.1%","9.3%","12.7%","12.3%","12.4%","14.2%","10.3%","7.2%","7.2%","30.5%","30.9%","20.7%","10.7%","3.2%","74.3%","33.2%","5.7%","10.4%"
"Wyoming","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","578,759","51.1%","48.9%","5.7%","17.5%","9.5%","13.2%","12.7%","11.0%","13.3%","10.5%","6.6%","5.5%","30.1%","35.3%","18.8%","10.4%","3.6%","71.6%","29.2%","12.3%","10.1%"
