"Label (Grouping)","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 17 years","SEX AND AGE!!Total population!!18 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed!!Unemployment Rate","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With private health insurance","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With public coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage","POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED!!All people"
"        Estimate","3,045,637","49.4%","50.6%","5.8%","17.0%","9.6%","12.7%","12.7%","11.9%","12.5%","10.3%","7.3%","10.9%","34.3%","29.4%","15.7%","9.7%","4.5%","60.0%","45.0%","8.4%","16.8%"
"California","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39,029,342","50.1%","49.9%","5.4%","16.3%","9.4%","14.7%","13.8%","12.5%","12.0%","9.1%","6.6%","15.3%","20.5%","27.2%","22.5%","14.4%","5.3%","63.8%","40.0%","6.5%","12.2%"
"Colorado","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,839,926","50.7%","49.3%","5.2%","15.5%","9.3%","15.7%","14.7%","12.1%","11.8%","9.6%","6.0%","7.0%","20.2%","27.0%","28.8%","17.1%","3.5%","70.5%","33.3%","7.1%","9.4%"
"Connecticut","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,626,205","49.0%","51.0%","4.9%","15.2%","9.7%","12.4%","12.7%","12.6%","14.2%","10.5%","7.8%","8.5%","25.9%","23.7%","23.0%","18.9%","4.7%","68.9%","37.6%","5.2%","9.8%"
"Delaware","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,018,396","48.6%","51.4%","5.3%","15.1%","8.5%","12.8%","12.3%","11.1%","14.1%","12.5%","8.4%","8.0%","28.2%","27.3%","21.0%","15.5%","4.3%","71.8%","39.5%","5.6%","9.4%"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","671,803","47.6%","52.4%","5.8%","12.7%","10.2%","21.6%","16.6%","10.7%","9.5%","7.5%","5.5%","6.3%","13.5%","14.8%","26.4%","38.9%","5.1%","72.5%","33.8%","2.9%","13.3%"
"Florida","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22,244,823","49.2%","50.8%","5.0%","14.4%","8.3%","12.5%","12.6%","12.3%","13.5%","11.7%","9.8%","10.1%","27.1%","28.6%","21.4%","12.9%","4.0%","63.6%","37.5%","11.2%","12.7%"
"Georgia","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,912,876","48.8%","51.2%","5.7%","17.3%","9.8%","13.6%","13.5%","12.8%","12.2%","9.2%","5.9%","10.5%","27.0%","27.8%","20.7%","14.0%","4.2%","66.6%","33.0%","11.7%","12.7%"
"Hawaii","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,440,196","50.4%","49.6%","5.5%","15.1%","8.3%","13.2%","13.3%","11.8%","12.3%","11.3%","9.1%","7.1%","26.8%","30.7%","22.1%","13.3%","3.6%","75.0%","39.4%","3.5%","10.2%"
"Idaho","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,939,033","50.4%","49.6%","5.8%","18.2%","10.0%","12.9%","13.2%","11.3%","11.6%","10.3%","6.7%","8.0%","26.0%","33.7%","21.4%","10.8%","3.0%","68.3%","37.2%","8.2%","10.7%"
"Illinois","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,582,032","49.5%","50.5%","5.4%","16.2%","9.3%","13.4%","13.3%","12.4%","12.8%","10.0%","7.2%","9.6%","25.2%","27.6%","22.5%","15.2%","4.8%","69.3%","35.8%","6.6%","11.9%"
"Indiana","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,833,037","49.7%","50.3%","5.8%","17.1%","9.9%","13.0%","12.7%","11.9%","12.6%","10.1%","6.9%","9.8%","32.1%","28.5%","19.0%","10.6%","3.6%","68.4%","36.8%","7.0%","12.6%"
"Iowa","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,200,517","50.2%","49.8%","5.6%","16.8%","10.1%","12.6%","12.7%","11.3%","12.6%","10.7%","7.7%","6.5%","29.5%","31.6%","21.5%","10.8%","2.9%","73.3%","36.8%","4.5%","11.0%"
"Kansas","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,937,150","50.2%","49.8%","6.0%","17.4%","10.4%","12.8%","13.0%","11.0%","12.1%","10.1%","7.1%","7.9%","25.3%","31.2%","22.0%","13.7%","3.6%","73.7%","31.2%","8.6%","12.0%"
"Kentucky","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,512,310","49.5%","50.5%","5.8%","16.5%","9.2%","13.0%","12.6%","12.4%","13.0%","10.6%","6.9%","11.0%","32.4%","28.7%","16.5%","11.4%","4.3%","62.8%","45.2%","5.6%","16.5%"
"Louisiana","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,590,241","49.0%","51.0%","5.9%","17.2%","9.5%","12.9%","13.3%","11.6%","12.6%","10.3%","6.7%","12.7%","32.5%","27.7%","17.0%","10.2%","5.4%","58.1%","47.7%","6.9%","18.6%"
"Maine","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,385,340","49.4%","50.6%","4.4%","13.3%","7.9%","12.0%","12.3%","12.2%","15.3%","13.4%","9.2%","5.4%","30.2%","28.4%","22.3%","13.8%","3.3%","68.7%","40.5%","6.6%","10.8%"
"Maryland","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,164,660","48.7%","51.3%","5.7%","16.2%","8.6%","13.1%","13.6%","12.5%","13.4%","9.9%","7.1%","8.6%","23.6%","24.0%","23.2%","20.6%","4.0%","72.8%","35.2%","6.1%","9.6%"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,981,974","49.0%","51.0%","4.9%","14.2%","10.0%","13.9%","13.0%","12.3%","13.7%","10.5%","7.6%","8.7%","23.0%","21.7%","25.3%","21.3%","4.1%","73.4%","37.8%","2.4%","10.4%"
"Michigan","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,034,118","49.6%","50.4%","5.3%","15.6%","9.5%","13.1%","12.2%","12.0%","13.6%","11.2%","7.5%","8.2%","28.1%","31.6%","19.5%","12.6%","4.6%","70.4%","41.0%","4.5%","13.4%"
"Minnesota","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,717,184","50.2%","49.8%","5.7%","16.8%","8.9%","13.0%","13.7%","11.5%","13.0%","10.2%","7.2%","6.0%","23.4%","31.5%","25.4%","13.7%","3.2%","74.7%","35.3%","4.5%","9.6%"
"Mississippi","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,940,057","48.5%","51.5%","5.8%","17.2%","10.2%","12.0%","12.9%","12.0%","12.4%","10.5%","6.9%","12.4%","30.8%","32.1%","15.2%","9.6%","4.9%","61.5%","40.1%","10.8%","19.1%"
"Missouri","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,177,957","49.3%","50.7%","5.7%","16.4%","9.4%","13.1%","12.9%","11.6%","13.0%","10.5%","7.5%","8.4%","30.1%","29.2%","19.7%","12.5%","3.7%","68.8%","34.3%","8.6%","13.2%"
"Montana","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,122,867","50.5%","49.5%","5.1%","15.8%","9.2%","13.0%","13.0%","11.0%","12.8%","12.3%","7.8%","6.0%","27.7%","31.7%","22.9%","11.7%","3.0%","65.2%","40.6%","8.3%","12.1%"
"Nebraska","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,967,923","50.2%","49.8%","6.2%","18.0%","9.8%","12.8%","13.4%","11.0%","11.9%","10.0%","7.0%","7.2%","25.1%","33.1%","22.6%","12.1%","2.3%","73.6%","32.3%","6.7%","11.2%"
"Nevada","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,177,772","50.3%","49.7%","5.4%","16.3%","8.3%","14.4%","13.9%","12.5%","12.3%","10.2%","6.7%","12.6%","27.9%","32.5%","17.6%","9.5%","5.5%","63.4%","36.9%","11.1%","12.5%"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,395,231","49.9%","50.1%","4.5%","13.5%","8.5%","13.0%","12.3%","12.3%","15.6%","12.2%","8.0%","5.5%","27.1%","26.1%","24.6%","16.7%","2.5%","75.6%","33.5%","4.9%","7.2%"
"New Jersey","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,261,699","49.3%","50.7%","5.5%","15.9%","8.5%","12.8%","13.3%","12.9%","13.6%","10.0%","7.4%","9.3%","25.2%","22.0%","25.9%","17.6%","5.0%","71.2%","33.6%","6.8%","9.7%"
"New Mexico","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,113,344","49.6%","50.4%","5.0%","16.6%","9.7%","13.0%","13.0%","11.3%","12.3%","11.5%","7.7%","12.0%","25.7%","31.8%","16.9%","13.5%","4.8%","54.4%","51.2%","8.2%","17.6%"
"New York","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,677,151","48.9%","51.1%","5.4%","14.9%","9.2%","14.0%","12.9%","12.2%","13.3%","10.3%","7.8%","12.1%","24.6%","23.3%","22.3%","17.7%","5.1%","65.4%","42.9%","4.9%","14.3%"
"North Carolina","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,698,973","48.9%","51.1%","5.5%","16.0%","9.7%","13.3%","12.9%","12.6%","12.7%","10.4%","7.0%","9.8%","24.9%","29.4%","22.8%","13.2%","3.8%","67.8%","35.9%","9.3%","12.8%"
"North Dakota","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","779,261","51.2%","48.8%","6.1%","17.1%","10.7%","14.5%","13.7%","9.7%","11.5%","9.7%","7.0%","6.1%","25.6%","36.4%","22.3%","9.5%","2.2%","78.4%","29.5%","6.4%","11.5%"
"Ohio","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,756,058","49.4%","50.6%","5.6%","16.1%","9.1%","13.1%","12.6%","11.9%","13.1%","10.9%","7.5%","8.2%","31.9%","27.8%","19.4%","12.6%","3.7%","68.1%","38.8%","5.9%","13.4%"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,019,800","49.9%","50.1%","6.0%","17.7%","10.1%","13.3%","13.2%","11.4%","11.8%","9.7%","6.8%","10.4%","30.6%","30.5%","18.6%","9.9%","4.2%","61.7%","39.6%","11.7%","15.7%"
"Oregon","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,240,137","50.0%","50.0%","4.7%","14.9%","8.6%","14.1%","14.0%","12.4%","12.1%","11.5%","7.8%","8.4%","22.7%","32.6%","22.2%","14.1%","4.3%","67.1%","41.2%","6.0%","12.1%"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,972,008","49.3%","50.7%","5.2%","15.1%","9.2%","12.9%","12.5%","11.9%","13.6%","11.3%","8.3%","7.8%","33.0%","24.1%","20.8%","14.3%","4.3%","71.2%","38.8%","5.3%","11.8%"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,093,734","49.0%","51.0%","4.8%","13.8%","10.3%","13.8%","12.6%","11.8%","14.1%","11.0%","7.8%","9.5%","24.7%","26.2%","23.9%","15.7%","4.5%","70.5%","37.9%","4.2%","10.8%"
"South Carolina","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,282,634","48.6%","51.4%","5.3%","15.8%","9.5%","12.6%","12.6%","11.9%","13.1%","11.5%","7.6%","9.5%","27.7%","30.2%","19.8%","12.8%","4.4%","66.9%","38.7%","9.1%","14.0%"
"South Dakota","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","909,824","50.8%","49.2%","6.3%","17.8%","9.4%","12.2%","12.8%","10.7%","12.7%","11.2%","7.1%","6.8%","29.2%","32.3%","21.7%","9.9%","2.8%","73.3%","32.0%","8.1%","12.5%"
"Tennessee","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,051,339","49.1%","50.9%","5.7%","16.1%","9.2%","13.7%","12.9%","12.3%","12.9%","10.3%","6.9%","9.6%","31.3%","28.0%","19.7%","11.4%","3.4%","67.2%","35.9%","9.3%","13.3%"
"Texas","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","30,029,572","50.0%","50.0%","6.3%","18.5%","10.0%","14.4%","14.1%","12.3%","11.0%","8.2%","5.2%","13.9%","24.2%","28.0%","21.6%","12.3%","4.4%","62.8%","29.6%","16.6%","14.0%"
"Utah","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,380,800","50.8%","49.2%","6.8%","20.8%","12.0%","14.6%","13.6%","11.0%","9.2%","7.3%","4.7%","7.0%","22.0%","33.1%","24.7%","13.2%","2.7%","78.4%","22.2%","8.1%","8.2%"
"Vermont","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","647,064","49.6%","50.4%","4.3%","13.3%","10.2%","12.0%","12.4%","11.7%","14.6%","12.9%","8.7%","5.0%","26.0%","24.7%","24.5%","19.7%","2.8%","70.0%","41.9%","3.9%","10.4%"
"Virginia","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,683,619","49.5%","50.5%","5.5%","15.9%","9.7%","13.3%","13.6%","12.3%","12.8%","9.9%","6.9%","8.5%","23.9%","25.4%","23.6%","18.6%","3.6%","73.0%","34.2%","6.5%","10.6%"
"Washington","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,785,786","50.5%","49.5%","5.4%","15.7%","8.6%","15.1%","14.3%","12.0%","12.0%","10.1%","6.7%","7.8%","21.5%","31.2%","23.8%","15.7%","4.1%","70.8%","36.3%","6.1%","10.0%"
"West Virginia","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,775,156","49.7%","50.3%","4.9%","14.9%","9.1%","11.7%","12.2%","12.5%","13.6%","12.7%","8.5%","10.9%","38.3%","26.0%","15.0%","9.8%","4.7%","61.8%","49.2%","5.9%","17.9%"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,892,539","50.2%","49.8%","5.2%","15.8%","9.5%","12.5%","12.6%","11.8%","13.9%","11.2%","7.5%","6.5%","29.6%","30.7%","21.7%","11.6%","2.8%","73.3%","35.7%","5.2%","10.7%"
"Wyoming","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","581,381","51.2%","48.8%","5.2%","17.1%","8.9%","12.5%","14.0%","11.1%","12.6%","11.8%","6.8%","6.3%","27.3%","36.9%","18.0%","11.6%","3.8%","71.0%","31.2%","11.5%","11.8%"
