State,Quarter,Text
Georgia,Q1,"Responding to concerns about student privacy, high school athletics officials voted to remove questions about menstruation history from a medical form. Florida’s governing body for high school sports voted on Thursday to remove all questions about menstruation from medical forms required for student athletes, after an uproar that reflected anxieties about digital and reproductive privacy."
Georgia,Q1,"‘Should I get rid of my gas stove’ isn’t the only question to ask. It may not even be the right one. My grandmother in India cooked for many years with coal, then with a tank of liquid petroleum gas. As a child in California, I lived in an apartment with an electric stove, then in a house with a gas connection. In London, last summer, I stayed in an apartment with an induction stove that glowed red in an instant. In Kenya a few years before that, I spent hours talking to women cooking dinner in smoky kitchens, over charcoal."
Georgia,Q1,"Corrections that appeared in print on Sunday, Feb. 5, 2023. An article on Page 11 this weekend about the video series “Inside Story” misstates the name of a recurring segment in the series. It is “In the Spotlight,” not “Inside the Spotlight.” Relying on incorrect information from sources involved with the series, it also misidentifies where the series will be streaming. It is the Vice News channel on the streaming platform Plex, not the Vice channel on Tubi."
Georgia,Q1,"In advance of a hearing on Wednesday expected to focus on the lab leak theory, House Republicans took aim at Dr. Anthony S. Fauci, whom they have long vowed to investigate. WASHINGTON — House Republicans on Wednesday will dig into the origins of the coronavirus pandemic in a hearing that promises to be filled with political theater alongside substantive questions about laboratory safety and what, if anything, could have been done to prevent the worst public health crisis in a century."
Georgia,Q1,"I’m afraid pregnant women will die if we don’t change Tennessee’s abortion law. Before the Supreme Court’s ruling in Dobbs v. Jackson Women’s Health Organization, I did not consider myself an abortion provider. Ninety-five percent of my work as a high-risk obstetrician was helping women through complex pregnancies to achieve healthy outcomes for both them and their babies."
Georgia,Q1,"Jimmy Carter was probably the most intelligent, hard-working and decent man to have occupied the Oval Office in the 20th century. The man was not what you think. He was tough. He was extremely intimidating. Jimmy Carter was probably the most intelligent, hard-working and decent man to have occupied the Oval Office in the 20th century."
Georgia,Q1,"The move came days after a Times investigation showed children were working in dangerous jobs throughout the United States. The Biden administration on Monday announced a wide crackdown on the labor exploitation of migrant children around the United States, including more aggressive investigations of companies benefiting from their work."
Georgia,Q1,"Activists are pushing for tougher abortion restrictions, while politicians fear turning off swing voters who don’t support strict limits like a national ban. For decades, opposition to abortion was a crucial but relatively clear-cut litmus test for Republican candidates: support overturning a constitutional right to an abortion, back anti-abortion judges and vote against taxpayer funding for the procedure."
Georgia,Q1,"An 86-year-old author has a few rules to live by even when the trials of getting older make it easy to complain. A new book came across my desk recently, with an irresistible title: “The Swedish Art of Aging Exuberantly: Life Wisdom from Someone Who Will (Probably) Die Before You.” I was already familiar with the astringent humor of the author, Margareta Magnusson, having read her previous book, “The Gentle Art of Swedish Death Cleaning” — a surprise international best seller and a call to, as she put it, “not leave a mountain of crap behind for our loved ones to clean up after we die.”"
Georgia,Q1,"An activist leader in Atlanta, in 1960 she wrote, with Julian Bond’s help, “An Appeal for Human Rights,” which resonated in the struggle across the country. Roslyn Pope, who as a senior at Spelman College in Atlanta wrote a 1960 manifesto that set the stage for dramatic advances in civil rights in the city and inspired generations of activists around the country, died on Jan. 19 in Arlington, Texas. She was 84."
Georgia,Q1,"The problem of democracy and American law enforcement goes beyond questions of accountability. Earlier this week, I wrote that American policing lies largely outside of democratic control. In practice, despite the formal authority of mayors, city councilors and other elected officials, police departments can and do operate without meaningful accountability or public oversight."
Georgia,Q1,"The CNN correspondent was traveling for work during construction of his family’s house, leaving the decision-making to his wife. (Yes, they’re still married.) The overwrought and the over-scheduled may be cheered to learn that Sanjay Gupta speaks quite highly of stress."
Georgia,Q1,"Studying the venom of bees, wasps and ants, he was stung hundreds of times and famously ranked the stings in a colorful pain scale index. Justin O. Schmidt, an intrepid entomologist who measured the agony of insect stings by allowing himself to be stung hundreds of times in creating a renowned and vividly descriptive pain scale that ranked them, died on Feb. 18 in Tucson, Ariz. He was 75."
Georgia,Q1,"Your trickiest digestive-health questions, answered by experts. Your trickiest digestive-health questions, answered by experts."
Georgia,Q1,"Living Carbon, a biotechnology company, hopes its seedlings can help manage climate change. But wider use of its trees may be elusive. On Monday, in a low-lying tract of southern Georgia’s pine belt, a half-dozen workers planted row upon row of twig-like poplar trees."
Georgia,Q1,"Last year’s democratic wins could have big implications. Imagine if the U.S. and its allies had reacted less aggressively to Russia’s invasion of Ukraine. Without Western weapons to bolster its defenses, Ukraine could have fallen. Without Western sanctions, Russia might have felt little economic pressure. Such inaction would have sent a message: Western powers won’t stand up for other democracies."
Georgia,Q1,"Five articles from around The Times, narrated just for you. This weekend, listen to a collection of articles from around The New York Times, read aloud by the reporters who wrote them."
Georgia,Q1,Here’s what you need to know at the end of the day. (Want to get this newsletter in your inbox? Here’s the sign-up.)
Georgia,Q1,"The 1619 Project, which has been adapted into a podcast and a book, premieres as a documentary on Hulu this week. In 2019, to mark the 400th anniversary of the first enslaved people arriving in the United States, The New York Times Magazine published The 1619 Project. It was the beginning of an ongoing long-form journalism initiative, created by Nikole Hannah-Jones, that reframes the history of slavery in America and explores how it touches nearly every aspect of modern life. The 1619 Project has been used as a curriculum in some 4,500 classrooms; it has also been adapted into a podcast and a best-selling book that features essays by contributors about slavery’s legacy. And on Thursday, it finally makes its way to the screen in the form of a six-part documentary series on Hulu."
Georgia,Q1,"And quick. Bret Stephens: Hi, Gail. I know you’re keen to handicap — figuratively, but maybe also literally — the emerging field of Republican presidential hopefuls. First Donald Trump, now Nikki Haley and soon, possibly, a fellow Palmetto State Republican, Senator Tim Scott. That’s on top of probable runs by Ron DeSantis, Mike Pompeo and Mike Pence and possibly Brian Kemp of Georgia, Glenn Youngkin of Virginia, Kristi Noem of South Dakota and Chris Christie of … New Jersey."
Georgia,Q1,"Just like exercise, or sleep, relationships require maintenance, too. We have reached the seventh and final day of the Happiness Challenge! Congratulations on your efforts to take care of your emotional, psychological, and physical health by building and strengthening your connections. You’ve assessed your social universe, made an eight-minute phone call (or two), chatted up someone you didn’t know, expressed your thanks, reached out to people at work, and put plans on the calendar. (If you missed a day, that’s OK. You can find the previous installments here, then do them at your own pace.)"
Georgia,Q1,"Amid a boom in new tools like ChatGPT, the Austin campus plans to train thousands of students in sought-after skills in artificial intelligence. The University of Texas at Austin, one of the nation’s leading computer science schools, said on Thursday that it was starting a large-scale, low-cost online Master of Science degree program in artificial intelligence."
Georgia,Q1,"When a pandemic-era boost ends on Wednesday, more than 30 million people will lose a significant amount of assistance. WASHINGTON — Tens of millions of low-income families are set to lose additional food stamp benefits on Wednesday after the expiration of a pandemic-era policy that had increased the amount they received, leaving food banks bracing for a surge in demand and some advocates predicting a rise in hunger nationwide."
Georgia,Q1,Here’s what you need to know at the end of the day. (Want to get this newsletter in your inbox? Here’s the sign-up.)
Georgia,Q1,"“Granny flats” are popping up in backyards across the country, affording Americans a new housing option. Some communities are not happy about it. Forty-five years ago, Betty Szudy and her wife, Maggie Roth, both 70, bought a Craftsman bungalow in Oakland, Calif. In 2017, at the same time their son and his wife were fruitlessly searching for an affordable apartment in the neighborhood, California was liberalizing its housing laws to encourage so-called accessory dwelling units, or A.D.U.s."
Georgia,Q1,"Most joint manipulations aren’t dangerous, but one rare complication can result in serious injury. Going to a chiropractor has become an accepted part of medical care, with about 15 percent of adults in the United States visiting one every year. Although critics claim the field lacks scientific validity, chiropractic treatments provide many people with pain relief, and a vast majority take place without incident."
Georgia,Q1,"A train with over 300 passengers on board collided with a freight train. The prime minister blamed “tragic human error,” the police arrested a station manager, and the transport minister announced his resignation. Rescue workers in Greece frantically searched for survivors through flattened carriages and smoking wreckage on Wednesday after a high-speed, head-on collision between a freight train and a passenger train killed at least 38 people and injured scores of others in what appeared to be the country’s deadliest rail accident."
Georgia,Q1,A presidency that’s been short on galvanizing TV gets an infusion of energy from a feisty speech. It’s a rare speech where you go onstage hoping to get booed.
Georgia,Q1,"The annual march, which was started in 2017 as a reaction to the election of President Donald J. Trump, this year focused on abortion rights. With signs declaring “Abortion Is Health Care” and chants about fighting back, activists in dozens of cities nationwide rallied in support of abortion rights on Sunday, the 50th anniversary of Roe v. Wade, the landmark decision that was overturned by the Supreme Court, eliminating the constitutional right to abortion."
Georgia,Q1,"President Biden in Warsaw. President Biden wrapped up a three-day trip to Europe yesterday with a promise of America’s commitment to its allies. He met in Warsaw with leaders from NATO’s eastern flank, reminding them that they know “what’s at stake in this conflict, not just for Ukraine, but for the freedom of democracies throughout Europe and around the world.”"
Georgia,Q1,"“Trust the Plan,” by Will Sommer, tracks the emergence of a bizarre movement from the wastewaters of the internet. It all started, in a way, with Hunter S. Thompson. In “Fear and Loathing in Las Vegas” (1971), his gonzo-psychedelic classic, Thompson described ingesting a rare and illicit drug called adrenochrome. You could obtain it only from the adrenaline glands of a living human body."
Georgia,Q1,"The National Restaurant Association uses mandatory $15 food-safety classes to turn waiters and cooks into unwitting funders of its battle against minimum wage increases. WASHINGTON — For many cooks, waiters and bartenders, it is an annoying entrance fee to the food-service business: Before starting a new job, they pay around $15 to a company called ServSafe for an online class in food safety."
Georgia,Q1,"Gov. J.B. Pritzker of Illinois has maintained his political organization, built a progressive record and is open about his ambitions. For now, he says, they don’t include the White House. CHICAGO — Gov. J.B. Pritzker of Illinois sat comfortably in an office board room high above the Loop on Monday and halfheartedly batted away the notion that he was preparing a run for the White House."
Georgia,Q1,"G.O.P. elites are simply lagging their states. My whole adult life, the work of fighting climate change was understood as the job of the blue team in America. The red team, we knew, just wasn’t going to play ball."
Georgia,Q1,"Wild animals eat the strangest things. That can be a problem, for them and for us. In September 1985, the authorities discovered the body of Andrew Thornton, a drug smuggler, in a Tennessee backyard. He had a bag full of cocaine, a failed parachute and the key to a small airplane, which turned up at a crash site about 60 miles away."
Georgia,Q1,"The House, back in Republican hands, is invoking its powers to weigh in on D.C. legislation, including an overhaul of the city’s century-old criminal code. WASHINGTON — After a heady few years for the District of Columbia’s longtime aspirations of self-governance, with a statehood bill even passing in the U.S. House of Representatives in 2021, the temperature between Congress and the city it sits in has plummeted to new lows."
Georgia,Q1,"Both U.S. political parties are now open to the idea that Covid may have come from a lab in China. A new House committee investigating the origins of Covid opened its first public hearing yesterday with plenty of political theater. Republicans accused Dr. Anthony Fauci of covering up the virus’s origins, and Democrats criticized those claims as biased and unsubstantiated. But lawmakers displayed bipartisan agreement on one point: The virus really may have come from a laboratory in China."
Georgia,Q1,"Develop stronger relationships in 2023. For over 80 years, researchers at Harvard have studied what makes for a good life. They found one surefire, scientifically proven predictor of happiness: developing warmer relationships."
Georgia,Q1,"The repeated outbursts that interrupted the State of the Union address encapsulated the ethos of the new Republican majority, which styles itself after former President Donald J. Trump. WASHINGTON — The House floor has been no stranger to rowdy spectacle in 2023, but the eruptions of Republican vitriol against President Biden during his State of the Union address on Tuesday night underscored a new and notably coarse normal in Congress, where members of the G.O.P. majority tossed aside rules of decorum and turned the annual speech into a showcase for partisan hostility."
Georgia,Q1,Here’s what you need to know at the end of the day. (Want to get this newsletter in your inbox? Here’s the sign-up.)
Georgia,Q2,Large health insurers and other companies are especially keen on doctors’ groups that care for patients in private Medicare plans. It’s no surprise that the shortage of primary care doctors — who are critically important to the health of Americans — is getting worse.
Georgia,Q2,"Missouri has imposed sweeping rules to limit health care for trans adults. Other states have banned Medicaid coverage or introduced bills outlawing care for young adults. Missouri this month became the first state in the country to severely restrict gender treatments for people of all ages, following a series of quieter moves across the country that have been chipping away at transgender adults’ access to medical care."
Georgia,Q2,The country has recorded more than 1.1 million deaths from the virus. The country has recorded more than 1.1 million deaths from the virus.
Georgia,Q2,"Public health experts have sounded alarms over the potential risks. But if you’ve already given your child full access, here’s how to cut back. Jason Mahr’s eldest son was 13 years old when Mr. Mahr and his wife gave him access to social media, a decision the 44-year-old father of five regretted immediately."
Georgia,Q2,"A new executive order requires every federal agency to address the disproportionate impact of pollution and climate change on minority communities. WASHINGTON — President Biden on Friday announced the creation of a White House Office of Environmental Justice, one of several actions to address the unequal burden that people of color carry from environmental hazards."
Georgia,Q2,"The conservative state legislatures couldn’t muster enough votes to pass bills that would have severely restricted the procedure. South Carolina and Nebraska, two conservative states that have been pushing to ban abortion, on Thursday both failed to pass new bills prohibiting the procedure, preserving wide access to abortion in those states and handing surprise victories to abortion rights advocates."
Georgia,Q2,"Regardless of income or education, Black mothers have worse birth outcomes. When Afrika Gupton-Jones was on bed rest in the hospital, after developing high blood pressure at 28 weeks of pregnancy, her husband was with her day and night. Yet the nurses often assumed that he was her brother, and that she was a single mother. When the doctors and nurses gave her medications or took her blood, she said, they gave her minimal explanation."
Georgia,Q2,"The vote to approve $31 million for the construction of a sprawling police and fire training complex came after nearly two years of protests. The Atlanta City Council voted overwhelmingly early Tuesday to approve $31 million in funding for the construction of a sprawling $90 million police and fire training complex, backing a project that has provoked nearly two years of sustained protests and further inflamed tensions over law enforcement in the city."
Georgia,Q2,"Temperatures will be up to 20 degrees above normal for much of the region through at least the weekend, with no nighttime relief. Even for Southerners used to spending a lot of time outside, this week’s brutal heat and humidity — which spread from Texas across the Gulf Coast and north into Missouri, Tennessee and Arkansas on Wednesday — are a little much."
Georgia,Q2,"The 86-year-old businessman-turned-politician, now a senator, was admitted to an intensive care unit in Milan. He was said to have a “problem related to a previous infection.” The former Italian prime minister Silvio Berlusconi was admitted to intensive care at a hospital in Milan on Wednesday and is expected to remain for a few days, hospital officials said."
Georgia,Q2,"The court split 3-3 on whether to revive a much stricter six-week limit, enacted in 2018, that was struck down before Roe v. Wade was overturned. A legal attempt to ban abortion in Iowa after six weeks of pregnancy failed on Friday, after the State Supreme Court deadlocked over whether to vacate a lower court’s injunction and allow the ban to take effect. That means abortion will remain legal in Iowa through 20 weeks of pregnancy."
Georgia,Q2,Did you follow the news this week? Take our quiz to see how well you stack up with other Times readers. Did you follow the news this week? Take our quiz to see how well you stack up with other Times readers.
Georgia,Q2,"The ad, paid for by the Democratic National Committee, tries to take back the mantle of patriotism often claimed by Republicans, leaning heavily on images of the flag and of the Capitol riot. The first television advertisement for President Biden’s re-election campaign aired on Wednesday, an opening salvo that leans heavily on images of the American flag, warns of domestic threats to democracy and repeatedly invokes the word “freedom.”"
Georgia,Q2,"In the year since Roe was struck down, clinic owners have scrambled to adjust to the new legal landscape around abortion. Here’s what happened to them, and their communities. In the year since Roe was struck down, clinic owners have scrambled to adjust to the new legal landscape around abortion. Here’s what happened to them, and their communities."
Georgia,Q2,"The authorities said that the 24-year-old suspect in the attack at an Atlanta medical building had been caught after an extensive manhunt that lasted several hours. ATLANTA — A gunman who opened fire at a medical office building in Midtown Atlanta on Wednesday, killing one and injuring four others, has been caught after a manhunt that lasted several hours, the authorities said."
Georgia,Q2,"The court kept a key abortion pill available while the legal fight continues. A Supreme Court decision Friday to keep available — for now — the widely used abortion pill mifepristone was met with relief from one side of the debate, disappointment from the other and a vow from both to keep fighting."
Georgia,Q2,"In the past three months, 10 Republican-led states have passed laws banning gender-affirming care for minors. Ten states in the past three months have passed laws prohibiting what is known as gender-affirming care for young people, in a rapid effort by Republican lawmakers across the country."
Georgia,Q2,"The prohibition is among the most restrictive in the country, and Florida will no longer be a destination for women from across the Deep South seeking the procedure. MIAMI — Florida lawmakers voted to prohibit abortions after six weeks of pregnancy on Thursday, culminating a rapid effort by elected Republicans and Gov. Ron DeSantis to transform the state to one of the most restrictive in the country."
Georgia,Q2,"Players set out for official practice rounds ahead of the first men’s golf major of the year although more than a few have tested the course recently. AUGUSTA, Ga. — Augusta National Golf Club will be thick with spectators Monday, as one player after another sets out for official practice rounds before the Masters Tournament, the year’s first men’s golf major."
Georgia,Q2,"The legislation, which faced a filibuster led by five women senators, now heads to the governor who has said he will sign it. The South Carolina Senate passed a ban on abortion after six weeks of pregnancy on Tuesday, after a filibuster led by five women senators, including three Republicans, failed to block it. The bill will drastically reduce access to abortion in a state that has become an unexpected destination for women seeking the procedure as almost every other Southern state has moved toward bans."
Georgia,Q2,"An impressive Scottie Scheffler is in good position to repeat, and Tiger Woods is capable of making another run. The best players in the world will assemble again this week at Augusta National Golf Club for the first of the year’s four major championships."
Georgia,Q2,For-profit sellers are meeting the demand for unregulated abortion pills — one that will only grow if legal access in the U.S. is further restricted. For-profit sellers are meeting the demand for unregulated abortion pills — one that will only grow if legal access in the U.S. is further restricted.
Georgia,Q2,"More than 20 Republican-led states have passed bills regulating the lives of transgender children and adolescents since the start of 2021. State laws restricting transition care for minors have surged over the past few months, as part of a Republican movement to regulate the lives of transgender youth."
Georgia,Q2,"After more than a dozen elite schools decided not to participate, the publication tweaked its methodology. And the ratings looked … not that different. U.S. News & World Report issued new rankings on Tuesday for the nation’s Top 14 law schools and Top 15 medical schools, just months after many of the schools dropped out of the rankings, saying they were unreliable and unfair."
Georgia,Q2,"The Manhattan indictments may not even present his biggest legal threat. Donald Trump is expected to turn himself in to the Manhattan authorities today. Further down, you can read about the latest developments and what to expect today."
Georgia,Q2,"While clinics in some states expanded capacity, bans prevented thousands from getting legal abortions, a major new survey of abortion providers finds. The number of legal abortions in the United States decreased just over 6 percent in the six months after the Supreme Court ended the right to abortion last June, according to a report released Tuesday, the most comprehensive and up-to-date count of abortions nationwide."
Georgia,Q2,"The Treasury Department’s ability to delay a default, the so-called X-date, hinges on how fast the money is coming in. WASHINGTON — A vote by House Republicans last week to lift the nation’s debt limit in exchange for deep spending cuts was the first step in what is likely to be a protracted battle over raising or suspending the borrowing cap to avoid defaulting on United States debt."
Georgia,Q2,"Among many unexpected symptoms that crop up during perimenopause, your menstrual cycle can get completely out of whack. In 2016, Alisha Coleman, a 52-year-old 911 call-center worker in Georgia, was fired from her job because she started experiencing a hallmark symptom of perimenopause: unpredictable and heavy periods, also known as flash periods. Once, her period was so heavy, she bled through her clothes and onto an office chair. Another time, she leaked onto the carpet. Those instances, as her employer put it, amounted to a failure to “practice high standards of personal hygiene” while on duty, and were reason for termination."
Georgia,Q2,"Gunfire and shelling still trapped many residents in their homes in the capital, but others took advantage of the truce announcement to flee on the 11th day of fighting. A United States-brokered cease-fire in Sudan appeared to be on shaky ground on Tuesday as gunfire and loud explosions erupted in Khartoum, the capital, threatening continued efforts by thousands of people to flee a conflict that has ripped through Africa’s third-largest nation for more than a week."
Georgia,Q2,Republican lawmakers are putting limits on progressive prosecutors. A fight has erupted in several states between Republican lawmakers and locally elected Democrats over how to respond to crime.
Georgia,Q2,"In return for the shield, the billionaire owners of Purdue Pharma are committed to paying up to $6 billion to help compensate communities and individuals for the ravages of the opioid epidemic. On Tuesday, a federal appeals court granted members of the billionaire Sackler family a legal golden key that they had been seeking for nearly four years: The Sacklers will be shielded from all civil opioid claims related to their company, Purdue Pharma, the maker of the prescription painkiller OxyContin. In exchange, they have agreed to make payments of up to $6 billion to thousands of plaintiffs in now-suspended lawsuits."
Georgia,Q2,"In his most extensive interview yet, Anthony Fauci wrestles with the hard lessons of the pandemic — and the decisions that will define his legacy. In his most extensive interview yet, Anthony Fauci wrestles with the hard lessons of the pandemic — and the decisions that will define his legacy."
Georgia,Q2,A man who wrote a book about rodents says Mayor Eric Adams’s new appointee faces a formidable opponent. Good morning. It’s Thursday. We’ll meet the city’s new rat czar — and hear from someone who wrote the book on rats. We’ll also get details on a $462 million settlement with the e-cigarette maker Juul over claims that it aimed its marketing at young people.
Georgia,Q2,"A costume designer for Netflix’s new “Bridgerton” spinoff describes creating clothing for a Black royal, and looking to the House of Windsor for real-life inspiration. In the opening monologue of “Queen Charlotte,” Netflix’s new “Bridgerton” prequel, the title character imagines being impaled by her whalebone corset."
Georgia,Q2,"The top U.S. cybersecurity agency said it did not have evidence that the group was acting in coordination with the Russian government. A Russian ransomware group gained access to data from federal agencies, including the Energy Department, in an attack that exploited file transfer software to steal and sell back users’ data, U.S. officials said on Thursday."
Georgia,Q2,The Minneapolis Police Department is facing sweeping overhauls after the release of a multiyear investigation into its practices by the Justice Department. The Minneapolis Police Department is facing sweeping overhauls after the release of a multiyear investigation into its practices by the Justice Department.
Georgia,Q2,"The president has no immediate plans to barnstorm key states with large rallies. He will instead try to burnish his record, and hope Republican infighting continues. President Biden has formally moved from a campaign-in-waiting to a campaign of waiting."
Georgia,Q2,"Sending movies through the mail, in recognizable red-and-white envelopes, helped the company become a behemoth in Hollywood. Call up your Luddite loved ones and your nostalgic friends who still cherish physical media. After 25 years, Netflix is ending its DVD-by-mail business."
Georgia,Q2,"New research warns that nearly 800,000 residents would need emergency medical care for heat stroke and other illnesses in an extended power failure. Other cities are also at risk. If a multiday blackout in Phoenix coincided with a heat wave, nearly half the population would require emergency department care for heat stroke or other heat-related illnesses, a new study suggests."
Georgia,Q2,"Even as civil rights groups suggest travelers should rethink trips to the state because of policies enacted by its Republican lawmakers, it remains a tourism juggernaut. And some visitors say their spending actually supports opposition to the new laws. For months leading up to Jean Franco Rivera’s one-year wedding anniversary, he had the perfect plan to celebrate: Travel to Disney World and go on all his favorite rides with his husband, Ahmed, and brother-in-law, Luis. The three men, all gay and Latino, are originally from Puerto Rico, but now live in Texas. As the trip approached, ‌Jean Franco, 42, said they felt somewhat concerned about traveling to a state that had passed legislation targeting L.G.B.T.Q. people in recent months."
Georgia,Q2,"Also, the Wagner chief begins exile in Belarus. Here’s the latest at the end of Tuesday. Justices on the country’s highest court rejected a legal theory that would have radically reshaped how elections are conducted by giving state legislatures largely unchecked power to set rules for federal elections and to draw congressional maps warped by partisan gerrymandering. The 6-to-3 decision was cheered by voting rights advocates who feared an undemocratic fallout if the Supreme Court had ruled the other way."
Georgia,Q2,"His rich baritone voice and songs like “Sundown,” “The Wreck of the Edmund Fitzgerald” and “If You Could Read My Mind” made him a top artist of the 1970s. Gordon Lightfoot, the Canadian folk singer whose rich, plaintive baritone and gift for melodic songwriting made him one of the most popular recording artists of the 1970s, died on Monday night in Toronto. He was 84. "
Georgia,Q2,"It’s not just a dating thing, and it can hurt. A lot. Here are ways to cope — and move forward. In my late 20s, I was ghosted by one of my closest friends."
Georgia,Q2,"What should we make of the role that abortion played in both the Chicago and Wisconsin elections this week? The elections this week in Chicago and Wisconsin were different in many ways. One was for mayor, the other for a state Supreme Court seat. One was in an overwhelmingly Democratic city, the other in a closely divided swing state."
Georgia,Q2,"As the Florida governor hopscotched the country preparing to run for president, a Michigan nonprofit paid the bills. It won’t say where it got the money. For Ron DeSantis, Sunday, Feb. 19, was the start of another busy week of not officially running for president."
Georgia,Q2,"What is the relationship, if any, between states requiring that abstinence is stressed in sex education and states restricting access to abortion? On July 22, 2022, the Supreme Court overruled Roe v. Wade, eliminating the constitutional right to an abortion. Two weeks before this verdict, The Times Opinion section published the map above. "
Georgia,Q2,"The Supreme Court will soon rule on race-conscious college admissions, a core Democratic issue. But an analysis of a California referendum points to a divide between the party and voters. The 2020 campaign to restore race-conscious affirmative action in California was close to gospel within the Democratic Party. It drew support from the governor, senators, state legislative leaders and a who’s who of business, nonprofit and labor elites, Black, Latino, white and Asian."
Georgia,Q2,"When Covid arrived, partisanship had little to do with how officials responded. I’d like to tell you a story about the pandemic, one that may sound so gauzily hopeful, it would qualify today as a public health fairy tale."
Georgia,Q2,"The $1.19 billion agreement, announced by Chemours, DuPont and Corteva, wouldn’t resolve all the claims against them. Three major chemical companies on Friday said they would pay more than $1 billion to settle the first in a wave of claims that they and other companies contaminated drinking water across the country with so-called forever chemicals that have been linked to cancer and other illnesses."
Georgia,Q2,"Apparently, the law is a little different for those at the top. The law is a little different for those at the top."
Georgia,Q3,"President Biden is making health care a key aspect of his reelection pitch. As his re-election effort gets underway, President Biden is signaling that health care — and particularly the cost of it — will be central to his campaign."
Georgia,Q3,"Also, drones hit deep inside Russia. Here's the latest at the end of Wednesday. Hurricane Idalia made landfall this morning in Florida’s Big Bend, hitting the area with heavy rain and devastating winds before marching northeast into Georgia. The storm severed power to hundreds of thousands of homes and left behind life-threatening floods across wide swaths of the region."
Georgia,Q3,"Mr. Wood wrote that the Georgia State Bar had “agreed to drop the disciplinary cases” against him if he retired from the profession. L. Lin Wood, one of the key lawyers who sought to overturn former President Donald J. Trump’s 2020 election loss and faced potential disciplinary action in Georgia as a result, opted to give up his law license in the state."
Georgia,Q3,"He still holds hands with his wife, Rosalynn, their grandson Josh Carter said. The family is making plans for the former president’s 99th birthday in October. Former President Jimmy Carter and his wife, Rosalynn Carter, are still holding hands and making memories together in their Georgia home six months after he entered hospice care there, one of the couple’s grandsons said on Monday."
Georgia,Q3,"Also, the U.S. believes Prigozhin is dead. Here’s the latest at the end of Thursday. When Donald Trump is booked this evening on 13 state felony charges at a notorious jail in Georgia, it will be striking to see how the former president is treated. Trump for the first time will be required to pay bail, and he is expected to sit for a mug shot."
Georgia,Q3,"North Carolina and Georgia reported higher concentrations of smoke in new places. Smoke from wildfires in Canada that pushed deep into the United States this week has reached new areas in the South, including in North Carolina and Georgia, that had mostly escaped the toxic drift blowing in from the fires in June, officials said."
Georgia,Q3,"In an address, Ursula von der Leyen, the president of the European Commission, expressed support for Ukraine and several other nations joining the bloc over the next few years. The European Union’s top official on Wednesday called for a major expansion of the bloc to include not only Ukraine but also Moldova, several Western Balkan nations and Georgia over the next few years, a move that would push the group from 27 to over 30 members with more than half a billion citizens, and would make the world’s largest free-trade, free-travel area even larger."
Georgia,Q3,"This is the striking historical backdrop for Fani Willis’s indictment of Donald Trump. With her sweeping indictment of former President Donald Trump and over a dozen co-conspirators, the Fulton County, Ga., district attorney, Fani Willis, is now set to prosecute her case in a court of law. Just as important, it is essential that she and others continue to explain to the American public why the decision serves a critical purpose beyond the courts and for the health of our constitutional order."
Georgia,Q3,"Before he faces a jury, the former president must answer to his supporters. After three other criminal indictments were filed against him, Donald Trump was accused on Monday of racketeering. In a new indictment, Fani Willis, the district attorney of Fulton County, Ga., charged him with leading what was effectively a criminal gang to overturn the 2020 presidential election in that state."
