"Label (Grouping)","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 17 years","SEX AND AGE!!Total population!!18 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed!!Unemployment Rate","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With private health insurance","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With public coverage","HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage","POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED!!All people"
"        Estimate","3,025,891","49.4%","50.6%","5.9%","17.3%","9.4%","12.7%","12.7%","11.8%","12.8%","10.4%","7.0%","11.3%","34.1%","29.3%","15.9%","9.4%","5.5%","59.0%","44.4%","9.2%","16.3%"
"California","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39,237,836","50.0%","50.0%","5.6%","16.7%","9.1%","14.9%","13.8%","12.6%","12.2%","9.1%","6.1%","15.6%","20.7%","27.5%","22.1%","14.0%","8.3%","63.7%","39.3%","7.0%","12.3%"
"Colorado","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,812,069","50.6%","49.4%","5.3%","16.1%","9.0%","15.5%","14.6%","12.2%","12.1%","9.6%","5.5%","7.6%","20.1%","27.9%","27.4%","17.0%","5.3%","70.1%","33.3%","8.0%","9.7%"
"Connecticut","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,605,597","49.0%","51.0%","4.9%","15.2%","9.5%","12.5%","12.5%","12.8%","14.4%","10.5%","7.5%","8.9%","25.5%","23.5%","23.2%","18.9%","6.7%","69.2%","37.7%","5.2%","10.1%"
"Delaware","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,003,384","48.4%","51.6%","5.3%","15.5%","8.3%","12.8%","12.2%","11.5%","14.3%","12.5%","7.6%","8.6%","28.3%","27.4%","20.6%","15.0%","5.6%","71.2%","40.1%","5.7%","11.6%"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","670,050","47.6%","52.4%","6.1%","12.7%","9.8%","21.8%","16.6%","10.5%","9.9%","7.5%","5.2%","7.2%","14.8%","14.9%","25.2%","37.8%","8.2%","71.9%","34.5%","3.7%","16.5%"
"Florida","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,781,128","49.2%","50.8%","5.0%","14.7%","7.9%","12.6%","12.5%","12.5%","13.7%","11.9%","9.2%","10.2%","27.7%","29.0%","20.6%","12.6%","5.6%","63.1%","37.4%","12.1%","13.1%"
"Georgia","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,799,566","48.8%","51.2%","5.8%","17.6%","9.7%","13.6%","13.4%","13.0%","12.4%","9.2%","5.5%","11.0%","26.7%","27.7%","20.9%","13.7%","5.5%","66.1%","32.4%","12.6%","14.0%"
"Hawaii","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,441,553","50.3%","49.7%","5.6%","15.5%","8.0%","13.7%","13.2%","11.7%","12.6%","11.3%","8.3%","7.1%","26.3%","31.3%","22.2%","13.1%","7.7%","74.5%","39.8%","3.9%","11.2%"
"Idaho","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,900,923","50.2%","49.8%","5.9%","18.8%","9.1%","13.0%","13.3%","11.4%","12.0%","10.2%","6.3%","8.7%","26.9%","33.6%","20.2%","10.5%","3.3%","68.1%","36.8%","8.8%","11.0%"
"Illinois","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,671,469","49.4%","50.6%","5.6%","16.5%","9.0%","13.5%","13.3%","12.5%","13.0%","10.0%","6.6%","9.8%","25.1%","27.9%","22.1%","15.0%","7.4%","69.4%","35.0%","7.0%","12.1%"
"Indiana","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,805,985","49.6%","50.4%","6.0%","17.3%","9.7%","13.0%","12.8%","12.0%","12.8%","10.1%","6.3%","9.4%","33.3%","28.5%","18.5%","10.4%","4.7%","69.0%","35.9%","7.5%","12.2%"
"Iowa","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,193,079","50.2%","49.8%","5.9%","17.2%","10.0%","12.2%","12.8%","11.1%","13.0%","10.6%","7.2%","6.7%","30.3%","32.5%","20.7%","9.9%","3.6%","72.3%","37.0%","4.8%","11.1%"
"Kansas","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,934,582","50.2%","49.8%","6.1%","17.9%","9.9%","12.8%","12.9%","11.1%","12.6%","10.0%","6.6%","8.1%","25.4%","31.1%","22.0%","13.4%","4.4%","72.6%","31.2%","9.2%","11.7%"
"Kentucky","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,509,394","49.4%","50.6%","5.7%","16.8%","9.2%","12.9%","12.7%","12.2%","13.3%","10.6%","6.5%","12.0%","32.7%","28.3%","15.9%","11.1%","5.4%","62.8%","45.4%","5.7%","16.5%"
"Louisiana","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,624,047","48.9%","51.1%","6.1%","17.3%","9.2%","13.2%","13.5%","11.4%","12.8%","10.3%","6.3%","13.3%","32.8%","27.4%","16.8%","9.7%","7.6%","57.1%","47.0%","7.6%","19.6%"
"Maine","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,372,247","49.1%","50.9%","4.4%","13.7%","7.8%","12.1%","12.2%","12.4%","15.6%","13.4%","8.2%","5.5%","29.6%","28.9%","22.2%","13.8%","4.9%","70.6%","39.8%","5.7%","11.5%"
"Maryland","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,165,129","48.7%","51.3%","5.7%","16.4%","8.6%","13.2%","13.5%","12.8%","13.6%","9.8%","6.4%","8.9%","23.8%","24.7%","22.4%","20.2%","5.9%","73.0%","35.4%","6.1%","10.3%"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,984,723","48.8%","51.2%","5.0%","14.5%","9.9%","14.0%","12.9%","12.5%","13.8%","10.5%","7.0%","8.9%","22.8%","21.7%","25.3%","21.3%","6.6%","73.9%","37.3%","2.5%","10.4%"
"Michigan","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,050,811","49.5%","50.5%","5.4%","16.0%","9.2%","13.1%","12.1%","12.2%","13.9%","11.1%","7.0%","8.0%","28.7%","31.6%","19.2%","12.5%","6.9%","70.5%","40.4%","5.0%","13.1%"
"Minnesota","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,707,390","50.1%","49.9%","5.8%","17.1%","8.8%","13.0%","13.5%","11.7%","13.3%","10.2%","6.6%","5.9%","23.3%","31.9%","25.5%","13.4%","4.9%","75.9%","34.3%","4.5%","9.3%"
"Mississippi","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,949,965","48.7%","51.3%","5.9%","17.6%","9.8%","12.1%","13.0%","12.0%","12.8%","10.5%","6.4%","13.5%","29.8%","31.9%","15.4%","9.3%","6.4%","59.7%","40.2%","11.9%","19.4%"
"Missouri","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,168,187","49.4%","50.6%","5.7%","16.7%","9.0%","13.0%","12.9%","11.6%","13.4%","10.6%","7.0%","8.4%","30.8%","29.0%","19.5%","12.2%","4.6%","69.8%","32.9%","9.4%","12.7%"
"Montana","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,104,271","50.8%","49.2%","5.1%","16.2%","9.3%","12.7%","12.7%","10.9%","13.5%","12.4%","7.3%","5.6%","26.8%","32.7%","22.4%","12.4%","4.0%","66.9%","39.8%","8.2%","11.9%"
"Nebraska","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,963,692","50.2%","49.8%","6.3%","18.2%","9.6%","12.9%","13.2%","11.0%","12.4%","10.0%","6.5%","7.8%","25.2%","32.6%","22.2%","12.3%","2.7%","74.8%","30.5%","7.1%","10.8%"
"Nevada","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,143,991","50.4%","49.6%","5.6%","16.6%","8.1%","14.4%","13.8%","12.6%","12.4%","10.3%","6.2%","12.8%","27.2%","32.3%","17.9%","9.6%","9.7%","62.7%","36.6%","11.6%","14.1%"
"New Hampshire","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,388,992","49.9%","50.1%","4.5%","14.0%","9.0%","12.8%","12.0%","12.8%","15.6%","12.0%","7.3%","5.6%","26.6%","27.6%","24.5%","15.7%","3.6%","76.6%","32.6%","5.1%","7.2%"
"New Jersey","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,267,130","49.2%","50.8%","5.6%","16.2%","8.3%","12.8%","13.2%","13.1%","13.9%","10.0%","6.9%","9.0%","25.5%","22.4%","25.7%","17.4%","8.1%","71.2%","33.2%","7.2%","10.2%"
"New Mexico","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,115,877","49.7%","50.3%","5.4%","16.9%","9.1%","13.2%","12.9%","11.1%","12.8%","11.3%","7.2%","12.5%","25.7%","31.7%","16.0%","14.1%","7.8%","53.3%","50.9%","10.0%","18.4%"
"New York","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,835,913","48.9%","51.1%","5.5%","15.2%","8.8%","14.1%","12.9%","12.4%","13.6%","10.3%","7.2%","12.0%","24.4%","23.7%","22.2%","17.7%","8.7%","65.9%","41.9%","5.2%","13.9%"
"North Carolina","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,551,162","48.8%","51.2%","5.5%","16.3%","9.5%","13.0%","12.8%","12.8%","13.0%","10.5%","6.5%","10.3%","24.9%","29.9%","21.7%","13.2%","5.8%","66.9%","35.8%","10.4%","13.4%"
"North Dakota","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","774,948","51.6%","48.4%","6.6%","17.0%","11.0%","14.2%","13.0%","10.2%","12.0%","9.5%","6.5%","6.4%","26.3%","35.6%","22.4%","9.4%","2.9%","77.3%","28.4%","7.9%","11.1%"
"Ohio","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,780,017","49.3%","50.7%","5.7%","16.4%","9.0%","13.1%","12.4%","12.1%","13.5%","10.9%","7.0%","8.3%","32.8%","28.2%","18.9%","11.8%","5.4%","67.6%","38.6%","6.5%","13.4%"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,986,639","49.8%","50.2%","6.1%","18.0%","9.8%","13.3%","13.3%","11.3%","12.3%","9.8%","6.4%","11.3%","30.7%","30.0%","18.3%","9.6%","5.9%","62.2%","37.3%","13.8%","15.6%"
"Oregon","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,246,155","50.0%","50.0%","5.0%","15.3%","8.4%","14.0%","14.0%","12.3%","12.4%","11.6%","7.0%","8.1%","21.9%","33.6%","22.4%","13.9%","6.4%","67.0%","41.3%","6.1%","12.2%"
"Pennsylvania","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,964,056","49.4%","50.6%","5.2%","15.4%","8.7%","13.1%","12.4%","12.1%","14.0%","11.3%","7.7%","8.1%","33.3%","24.1%","20.6%","13.9%","6.4%","71.7%","38.2%","5.5%","12.1%"
"Rhode Island","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,095,610","49.0%","51.0%","4.8%","14.2%","10.4%","13.4%","12.5%","12.2%","14.2%","10.9%","7.4%","10.9%","27.7%","24.9%","20.9%","15.6%","7.7%","69.2%","40.1%","4.3%","11.4%"
"South Carolina","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,190,705","48.6%","51.4%","5.3%","16.2%","9.2%","12.7%","12.5%","12.0%","13.4%","11.7%","6.9%","10.4%","28.5%","29.5%","19.6%","11.9%","5.6%","65.4%","38.9%","10.0%","14.6%"
"South Dakota","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","895,376","50.5%","49.5%","6.5%","18.2%","9.4%","12.3%","12.6%","10.6%","12.8%","10.9%","6.7%","6.9%","29.3%","32.1%","21.6%","10.1%","2.8%","72.5%","31.0%","9.5%","12.3%"
"Tennessee","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,975,218","48.9%","51.1%","5.7%","16.3%","8.9%","13.5%","12.9%","12.5%","13.1%","10.5%","6.5%","10.3%","31.2%","28.1%","19.2%","11.3%","5.3%","66.7%","36.5%","10.0%","13.6%"
"Texas","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","29,527,941","49.9%","50.1%","6.4%","18.8%","9.6%","14.4%","14.0%","12.3%","11.3%","8.2%","5.0%","14.6%","24.6%","27.7%","21.2%","11.9%","6.2%","61.4%","29.7%","18.0%","14.2%"
"Utah","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,337,975","50.8%","49.2%","7.0%","21.3%","11.4%","14.6%","14.0%","10.7%","9.3%","7.2%","4.4%","6.8%","22.1%","34.2%","24.1%","12.7%","3.5%","77.8%","22.3%","9.0%","8.6%"
"Vermont","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","645,570","49.6%","50.4%","4.2%","13.9%","10.2%","11.8%","12.1%","12.1%","15.0%","12.8%","7.9%","5.5%","26.2%","23.9%","26.0%","18.4%","4.2%","70.0%","41.6%","3.7%","10.3%"
"Virginia","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,642,274","49.5%","50.5%","5.6%","16.2%","9.5%","13.4%","13.6%","12.5%","13.0%","9.9%","6.4%","8.6%","23.9%","25.7%","23.5%","18.3%","4.8%","73.9%","32.7%","6.8%","10.2%"
"Washington","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,738,692","50.4%","49.6%","5.6%","16.1%","8.6%","15.1%","14.2%","12.0%","12.4%","10.1%","6.1%","7.7%","21.6%","31.7%","23.8%","15.1%","5.9%","70.5%","36.5%","6.4%","9.9%"
"West Virginia","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,782,959","49.8%","50.2%","5.0%","15.3%","8.8%","11.3%","12.5%","12.5%","14.0%","12.7%","8.0%","11.2%","39.1%","25.6%","14.2%","9.9%","6.2%","62.7%","48.8%","6.1%","16.8%"
"Wisconsin","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,895,908","50.1%","49.9%","5.3%","16.3%","9.2%","12.5%","12.7%","11.9%","14.1%","11.0%","6.9%","6.7%","30.0%","30.8%","21.5%","11.0%","3.5%","73.5%","35.1%","5.4%","10.8%"
"Wyoming","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","578,803","51.1%","48.9%","5.2%","17.5%","9.0%","12.2%","13.8%","11.3%","13.0%","11.5%","6.5%","6.4%","27.3%","37.1%","18.5%","10.7%","3.7%","71.8%","30.1%","12.2%","11.4%"
